subj_num,Test_post,Score_post
1,IQ,108.2509885844786
2,IQ,110.83307529491698
3,IQ,108.1604136538149
4,IQ,109.83500124301169
5,IQ,108.25415560441975
6,IQ,106.53792549735644
7,IQ,109.1254382687697
8,IQ,109.27051363809444
9,IQ,108.52304839079534
10,IQ,112.77531556627054
11,IQ,108.03108206159538
12,IQ,113.05675966809126
13,IQ,109.89083994614336
14,IQ,111.65073651647756
15,IQ,111.74005611892787
16,IQ,109.38374137161478
17,IQ,107.32425425734374
18,IQ,106.88511040730111
19,IQ,112.80870303816734
20,IQ,108.83337833117739
21,IQ,109.46204090027308
22,IQ,111.8165197677185
23,IQ,108.33601857285309
24,IQ,109.71098803418231
25,IQ,111.74991339334517
26,IQ,110.36180287224622
27,IQ,110.7087090663781
28,IQ,108.47033228108518
29,IQ,108.72627631335729
30,IQ,110.0656478436845
31,IQ,110.23714116138626
32,IQ,109.4148088900282
33,IQ,109.22873038461306
34,IQ,109.02613934046575
35,IQ,111.31261102171352
36,IQ,107.61356636779541
37,IQ,110.96242648502398
38,IQ,109.58562344490058
39,IQ,109.1581416714677
40,IQ,110.38395497408706
41,IQ,111.11959928565287
42,IQ,109.45119662352973
43,IQ,107.63875644293388
44,IQ,110.96113076587787
45,IQ,112.50557394637116
46,IQ,108.65085858464711
47,IQ,109.72941394060427
48,IQ,111.0779109200026
49,IQ,110.43423646815624
50,IQ,114.50298380859343
1,IQ,108.2509885844786
2,IQ,110.83307529491698
3,IQ,108.1604136538149
4,IQ,109.83500124301169
5,IQ,108.25415560441975
6,IQ,106.53792549735644
7,IQ,109.1254382687697
8,IQ,109.27051363809444
9,IQ,108.52304839079534
10,IQ,112.77531556627054
11,IQ,108.03108206159538
12,IQ,113.05675966809126
13,IQ,109.89083994614336
14,IQ,111.65073651647756
15,IQ,111.74005611892787
16,IQ,109.38374137161478
17,IQ,107.32425425734374
18,IQ,106.88511040730111
19,IQ,112.80870303816734
20,IQ,108.83337833117739
21,IQ,109.46204090027308
22,IQ,111.8165197677185
23,IQ,108.33601857285309
24,IQ,109.71098803418231
25,IQ,111.74991339334517
26,IQ,110.36180287224622
27,IQ,110.7087090663781
28,IQ,108.47033228108518
29,IQ,108.72627631335729
30,IQ,110.0656478436845
31,IQ,110.23714116138626
32,IQ,109.4148088900282
33,IQ,109.22873038461306
34,IQ,109.02613934046575
35,IQ,111.31261102171352
36,IQ,107.61356636779541
37,IQ,110.96242648502398
38,IQ,109.58562344490058
39,IQ,109.1581416714677
40,IQ,110.38395497408706
41,IQ,111.11959928565287
42,IQ,109.45119662352973
43,IQ,107.63875644293388
44,IQ,110.96113076587787
45,IQ,112.50557394637116
46,IQ,108.65085858464711
47,IQ,109.72941394060427
48,IQ,111.0779109200026
49,IQ,110.43423646815624
50,IQ,114.50298380859343
1,MR,29.09588036055838
2,MR,30.388260433174526
3,MR,NA
4,MR,29.064450443691765
5,MR,29.52144521278846
6,MR,27.950599501009798
7,MR,28.752058389303635
8,MR,28.306155208091138
9,MR,29.91870591360714
10,MR,30.992715331057315
11,MR,29.090399716220272
12,MR,31.628309521289022
13,MR,30.252646471087733
14,MR,30.712213831052928
15,MR,31.676345357285214
16,MR,29.60799657429342
17,MR,29.33717450977817
18,MR,28.897511067998963
19,MR,30.934928812936732
20,MR,29.15121691853171
21,MR,29.95685001451081
22,MR,29.262011380748163
23,MR,32.088405860248194
24,MR,NA
25,MR,29.549547765350027
26,MR,28.45799691568788
27,MR,32.46367026465505
28,MR,28.551991292717755
29,MR,28.160540691934788
30,MR,29.186168326088367
31,MR,30.133835919610473
32,MR,NA
33,MR,28.151793130357532
34,MR,31.03615616677575
35,MR,31.23243411788944
36,MR,28.915153232428203
37,MR,28.810585299965766
38,MR,28.508561473227353
39,MR,30.046293927341992
40,MR,30.221001100120443
41,MR,30.09767637590297
42,MR,30.94092452481954
43,MR,29.659428722808155
44,MR,30.338213031292405
45,MR,31.205869566628067
46,MR,29.885458693577423
47,MR,30.928942300057066
48,MR,29.93957471285672
49,MR,30.320449577661737
50,MR,32.50216530129513
1,MR,29.09588036055838
2,MR,30.388260433174526
3,MR,NA
4,MR,29.064450443691765
5,MR,29.52144521278846
6,MR,27.950599501009798
7,MR,28.752058389303635
8,MR,28.306155208091138
9,MR,29.91870591360714
10,MR,30.992715331057315
11,MR,29.090399716220272
12,MR,31.628309521289022
13,MR,30.252646471087733
14,MR,30.712213831052928
15,MR,31.676345357285214
16,MR,29.60799657429342
17,MR,29.33717450977817
18,MR,28.897511067998963
19,MR,30.934928812936732
20,MR,29.15121691853171
21,MR,29.95685001451081
22,MR,29.262011380748163
23,MR,32.088405860248194
24,MR,NA
25,MR,29.549547765350027
26,MR,28.45799691568788
27,MR,32.46367026465505
28,MR,28.551991292717755
29,MR,28.160540691934788
30,MR,29.186168326088367
31,MR,30.133835919610473
32,MR,NA
33,MR,28.151793130357532
34,MR,31.03615616677575
35,MR,31.23243411788944
36,MR,28.915153232428203
37,MR,28.810585299965766
38,MR,28.508561473227353
39,MR,30.046293927341992
40,MR,30.221001100120443
41,MR,30.09767637590297
42,MR,30.94092452481954
43,MR,29.659428722808155
44,MR,30.338213031292405
45,MR,31.205869566628067
46,MR,29.885458693577423
47,MR,30.928942300057066
48,MR,29.93957471285672
49,MR,30.320449577661737
50,MR,32.50216530129513
